date,wind_speed_kmh,wind_dir_deg,humidity_pct,temp_c,precip_mm
2026-04-22,17.5,268,14,33.4,0.0
2026-04-23,13.3,257,14,32.6,0.0
2026-04-24,14.5,308,19,34.3,0.0
2026-04-25,15.7,340,20,35.4,0.0
2026-04-26,16.2,294,19,36.1,0.0
2026-04-27,21.6,299,21,35.4,0.6
2026-04-28,15.9,250,25,33.7,0.0
2026-04-29,18.6,283,21,33.9,0.0
2026-04-30,18.7,274,26,32.8,0.0
2026-05-01,16.1,250,35,31.3,0.0
2026-05-02,14.2,296,31,33.1,0.0
2026-05-03,17.9,210,27,33.3,0.0
2026-05-04,13.2,108,44,28.2,0.3
2026-05-05,10.4,32,50,27.1,0.0
2026-05-06,11.0,298,41,28.8,0.0
2026-05-07,19.6,123,34,29.8,0.0
2026-05-08,12.7,86,40,29.5,0.0
2026-05-09,13.8,55,36,31.3,0.0
2026-05-10,13.6,98,39,32.0,0.0
2026-05-11,11.3,102,35,33.1,0.0
2026-05-12,20.6,282,28,35.3,0.4
2026-05-13,19.6,308,25,35.5,0.0
2026-05-14,18.6,315,28,33.7,0.0
2026-05-15,16.2,333,32,33.3,0.3
2026-05-16,13.4,351,26,34.6,0.0
2026-05-17,17.3,287,23,35.8,0.0
2026-05-18,16.4,291,20,37.3,0.0
2026-05-19,16.3,288,17,37.2,0.0
2026-05-20,14.6,253,21,36.1,0.0
2026-05-21,18.2,264,18,35.8,0.0
2026-05-22,16.3,279,21,35.7,0.0
2026-05-23,21.2,281,21,36.1,0.0
2026-05-24,19.6,269,21,36.7,0.0
2026-05-25,18.6,257,24,36.3,0.0
2026-05-26,16.3,274,29,37.0,0.1
2026-05-27,19.1,279,24,37.7,0.0
2026-05-28,18.2,269,24,37.4,0.0
2026-05-29,16.6,145,44,31.6,0.8
2026-05-30,19.8,125,54,28.7,0.0
2026-05-31,13.5,272,49,29.5,0.3
2026-06-01,13.9,243,58,29.0,1.3
2026-06-02,9.7,212,55,29.2,0.5
2026-06-03,11.9,287,39,33.3,0.0
2026-06-04,17.2,248,41,32.5,0.5
2026-06-05,14.5,214,54,29.0,1.8
2026-06-06,11.5,264,43,32.9,0.5
2026-06-07,12.0,268,45,32.8,0.1
2026-06-08,16.3,271,38,34.6,0.0
2026-06-09,17.8,269,35,35.8,0.0
2026-06-10,20.4,250,40,35.5,0.0
2026-06-11,16.0,225,41,35.4,0.8
2026-06-12,25.2,97,60,30.4,8.2
2026-06-13,10.8,148,63,28.6,0.0
2026-06-14,16.1,244,57,30.4,1.0
2026-06-15,11.8,274,56,29.9,0.0
2026-06-16,13.6,288,54,30.7,0.0
2026-06-17,10.8,281,55,30.6,1.2
2026-06-18,12.2,283,52,31.8,0.3
2026-06-19,11.5,271,51,30.8,0.6
2026-06-20,15.6,278,53,31.2,1.8
2026-06-21,16.9,273,54,30.6,1.1
2026-06-22,14.9,276,55,30.2,2.5
2026-06-23,14.6,276,46,32.0,0.0
2026-06-24,14.2,242,48,31.3,0.7
2026-06-25,12.6,256,53,31.4,1.3
2026-06-26,11.7,274,54,32.2,0.8
2026-06-27,12.4,297,48,33.6,0.2
2026-06-28,14.0,269,49,33.8,1.5
2026-06-29,12.5,256,49,33.7,0.4
2026-06-30,16.3,264,44,34.6,0.1
2026-07-01,12.6,202,56,32.1,1.9
2026-07-02,20.4,220,75,29.2,17.8
2026-07-03,11.3,297,77,29.1,6.2
2026-07-04,7.3,343,74,30.0,0.3
2026-07-05,13.3,77,74,30.7,12.7
2026-07-06,6.1,74,75,30.2,2.1
2026-07-07,9.6,29,78,29.2,3.6
2026-07-08,13.8,343,77,28.6,4.2
2026-07-09,14.8,279,73,29.3,0.4
2026-07-10,15.8,253,67,30.4,0.0
2026-07-11,17.3,246,64,29.8,0.0
2026-07-12,15.6,246,63,30.3,0.0
2026-07-13,14.3,249,60,31.0,0.4
2026-07-14,16.2,258,56,31.3,0.1
2026-07-15,15.2,264,53,31.6,0.2
2026-07-16,15.6,272,48,32.7,0.1
2026-07-17,16.1,267,47,33.1,0.0
2026-07-18,15.1,263,48,33.3,0.2
2026-07-19,13.0,242,52,33.0,1.1
2026-07-20,12.1,201,65,30.6,1.0
2026-07-21,12.5,288,89,26.8,30.7
